Group,z_group,RA_BGG,Dec_BGG,ZS_type,lMass_200,M_virial,r_200_kpc,size_Group_Bary_kpc,Vdisp
25,0.03802488075,128.717113659,44.637127392,Predominant,12.830967046991534,5887096315725.472,394.01342190376704,151.45140529619457,138.73358378062295
27,0.0458903127499999,129.932109624,53.013804705,Embedded,14.067655145847407,25675417463639.81,1015.4125355994342,211.10510071197064,277.7185452426554
28,0.04548640925,130.548902571,52.773058239,Embedded,14.067661014296515,4805691278409.154,1015.549400958051,189.73072281453588,111.41340432393416
33,0.04327342475,132.67951554,1.350688604,Predominant,13.24120245146574,682118397318.5398,538.9202106757072,90.56554904727076,65.212862961357
42,0.02394379475,139.174411627,30.915418002,Predominant,13.197135895008143,693732847064.7721,524.2179697182664,135.67695743146368,71.43269758845616
52,0.02732541175,141.970101969,29.985751394,Embedded,13.825752463831812,23224389700899.586,848.3718039638098,77.34665438916355,376.10695801897606
61,0.0414547705,146.313377495,34.712283344,Predominant,12.7924239749764,713429164611.0309,382.10752802082067,55.53053301041907,114.38282225559918
63,0.03985396025,147.467155964,34.714119475,Predominant,14.18681973523859,1151747007197.5562,1114.8266583946504,310.29909093235364,88.3216832592506
73,0.0222980435,151.021883971,31.185462997,Predominant,13.21490640236317,25888836687679.367,531.6929649966766,251.957243987245,238.55179856135848
80,0.03061774375,153.503134728,14.499680194,Predominant,13.268024226482408,3324166687483.788,552.3610395630067,193.94068621205523,139.35060368873476
82,0.0454732619999999,154.492423795,37.18157765,Predominant,13.25003767816629,9443233491836.14,542.20283438495,193.87374503326663,175.61675796013438
84,0.0299475355,154.727076611,16.155514838,Predominant,12.948507061913409,4570796132385.882,432.3244625205209,132.0623817269525,157.75382835927795
99,0.04335695525,157.584321087,21.221097068,Predominant,13.464956548743777,9079872966722.129,639.8784668784041,166.07551326746062,173.4668977380962
101,0.0311867007499999,158.560057062,61.640479844,Predominant,13.26801583906136,3581048880854.0874,552.2575659037378,59.93430864654951,225.54969362779747
106,0.019921494,159.835214457,-0.200241889,Predominant,13.076886053019717,503260939490.3304,478.60707445600264,254.0187202251849,36.747987982423375
112,0.040583446,162.495232384,0.322301336,Embedded,13.88169304667518,44931287421762.02,881.8542168494279,111.44214789641254,419.9583578978288
117,0.03700237075,164.810996573,5.292032395,Predominant,13.134806937099691,41360629729317.71,497.66041141802594,210.48904476017395,364.7625356723772
121,0.02637006775,166.17462696,4.297345904,Predominant,12.882454078183256,756963718162.0397,411.4194565974626,83.25006251810714,73.46766637566752
128,0.0305476997499999,167.481121312,36.94649092,Predominant,12.806418860713324,3060935853639.6147,387.5825827966521,146.30924029188694,187.3350918577178
131,0.0358346275,168.013928628,27.589778419,Embedded,13.857143695571017,13685282045601.16,866.710667178127,56.74711049756566,418.0133653258581
142,0.03649317775,171.069765723,38.015436737,Predominant,12.93754898705778,1767971312236.7815,427.81022717856433,168.96381780024132,83.267087994249
147,0.03541012625,171.890929976,36.060982228,Isolated,13.205836637572428,674439708716.8683,525.812226934927,152.5078826169351,65.7534465679738
154,0.0269135034999999,173.750076931,51.217992014,Predominant,13.358770264798062,20238217251485.35,592.9009704060144,90.43767990520573,316.2831303017852
158,0.036779541,174.533366492,11.196374987,Isolated,12.828027320936844,359150986723.61237,393.28209418868823,218.64530610362485,32.42121263589201
165,0.032470518,176.058210937,33.514508725,Embedded,14.041282098256174,1630087505112.8247,999.3546743279068,110.45340467538225,108.01374748964204
167,0.03263194475,176.1074037,33.35507716,Embedded,14.041279864235898,13088198834454.293,999.3015835796336,153.59603403805036,231.0623728544869
173,0.0331761215,179.04299365,60.522524294,Predominant,14.25185222416202,7059636865761.414,1174.389252334972,226.53712765345085,135.88160481824826
175,0.0405418535,179.274744468,1.125520071,Isolated,12.75987368447744,986929522386.5958,372.7887573684555,125.08608079551124,65.28324227714526
188,0.02574089425,183.326072262,21.634290799,Predominant,13.09553957485666,7987462559994.214,484.6182795232464,87.17093413119962,229.806244541614
197,0.03446559675,185.006272145,56.162916283,Predominant,12.758988367611904,1656833494457.7407,373.2606482302796,163.5458697145661,96.70629629831222
204,0.03686628275,187.131419886,53.596008054,Embedded,13.439445872547372,8957153805430.758,628.7794070350005,161.71953130986898,230.8925162180898
206,0.04453014825,187.741751381,51.344149479,Predominant,13.0725552551545,11671212497844.39,473.2961792283252,60.10455940456136,340.09815527961393
207,0.0405472805,188.703831023,50.805173203,Embedded,13.69850976457416,2006396293706.2488,766.1975222722971,152.6856517933967,87.17908109078253
214,0.040184649,190.662310252,48.535993613,Isolated,12.899004167941657,4185543489966.7,414.8483978451642,205.5674613058719,104.38035055154089
229,0.037650195,197.642349727,34.636230475,Embedded,13.55767201821172,7277937448550.904,688.3322202749212,206.9297641487251,167.90318381132158
231,0.03200509975,198.136728044,11.72896209,Predominant,13.227575700323502,12284849048769.64,535.2399691508488,121.12119555501064,246.898260881355
239,0.0349343375,202.96132845,44.152209581,Isolated,12.82115011066182,7476129255630.096,391.4423556853313,188.6727856323459,163.05321918207693
259,0.035524021,206.412250683,56.616505963,Embedded,13.657213004141097,3726709821431.233,743.4874998535638,203.91342622409647,120.98538425149616
265,0.0285267674999999,208.61171533,21.829993055,Predominant,12.7837542901207,484426125585.09625,381.1431271101321,146.14913642250517,38.97813511821061
271,0.036507075,210.010861747,59.265244191,Predominant,13.129881013409385,10819435523052.14,495.8609502919627,209.95284960811784,189.38378528984265
276,0.0315560815,211.489018571,65.690728006,Predominant,13.276878910455771,1271564716809.829,555.9618605253653,123.30986300411752,96.72059935101916
293,0.04274948525,217.452067863,53.96501454,Embedded,13.765457241451466,21694309988984.125,806.0264123182459,119.53757373636854,306.4772734670471
303,0.04064525075,219.972957917,21.553257642,Isolated,12.901957244917298,1166006255243.7302,415.7282907114962,143.16448108938886,70.17724844656149
309,0.04433175225,223.045971412,-0.256103918,Predominant,13.20667737449903,8022290260098.862,524.6481300787893,152.82653697464008,164.51237404092095
315,0.044082939,224.526016096,1.505716638,Predominant,12.940377010982612,25338348651996.27,427.6969425174118,159.19592335880148,314.54953863969433
316,0.0341729189999999,224.865162541,16.645098413,Predominant,13.95857098078218,3391098874455.896,937.375566466446,235.0079874704012,93.85765665159808
322,0.0370456569999999,226.618937883,46.344193946,Predominant,12.744141153197369,1647979728943.1416,368.7271808487056,144.02065116671616,106.331320893402
323,0.0451653885,226.650594164,9.649493156,Predominant,13.415657642069204,8147250036944.936,615.7601071219307,193.85123105619232,174.85004040603656
330,0.0348531535,228.911217188,8.300752801,Embedded,13.186123362089484,2701129243484.2983,518.0084229976081,120.82803109730752,118.89191411626952
333,0.0403692565,229.853077991,20.896319496,Embedded,14.352095357684004,2580212911014.3047,1265.398807285106,62.307074520764786,191.45852988394293
337,0.037835817,231.266713288,48.457176013,Embedded,13.75568500309813,23015999173402.5,801.2658300801147,158.56053700062768,302.02408479186386
341,0.0438521049999999,232.373444842,7.573251432,Embedded,14.523137665016364,13063985754614.893,1441.303071522938,176.27817852435987,190.34792149633648
354,0.0324996035,236.095627041,25.327537611,Predominant,13.702572175933838,1111911880659.7915,770.5703921829847,177.63322767400547,67.74026316036813
360,0.0313269945,239.64501231,27.618251133,Predominant,12.910001689671134,9489571073062.955,419.5505014140467,157.8851723692966,192.05501154968587
368,0.03940497125,241.561817567,18.182884231,Embedded,13.784221316302553,2245036424263.753,818.5974794242253,54.10064271577906,147.9159301546626
369,0.038586114,241.791169072,18.641280218,Embedded,13.320146746268373,3394834028602.6616,573.4464288581087,138.4313868164229,119.85015443562612
373,0.03171492175,243.167265466,33.034895563,Predominant,13.161521097814704,1104103036804.7505,508.82734768763027,144.96567681532957,104.92174597508588
374,0.04198902775,243.208074426,11.159791043,Predominant,13.7270501324849,35939440043679.92,782.8040987191329,135.53802366843578,386.952851112569
386,0.036862638,247.1966171,21.49371335,Predominant,13.112120463410164,20338148228652.96,489.0917603069135,189.52961483378633,246.69303772559584
393,0.03214184075,249.474675718,36.073053206,Embedded,14.08656599915195,10396161401234.238,1034.8078916147708,165.33113067906433,197.9919631324931
394,0.03837793075,251.141803192,38.920509143,Predominant,12.976974607634192,2778831469933.1543,440.6878747302991,176.7499767752205,256.9512089223681
405,0.03071585725,256.367088053,23.153194101,Predominant,12.883371920472786,3476391264688.904,411.1422019268616,222.82995741225113,139.6605782993902
